Per-cluster classifier AUC
============================================================
Scoring model: probs_evo_full
Reads mapped: 198,423 of 311,995
Clusters evaluated: 34 (need >=50 reads with both classes)

   Cluster    Reads  Ancient   ROC-AUC
  ----------------------------------------
        39    4,933    2,269    0.7618
       123    5,010    2,326    0.7453
       110    4,856    2,315    0.7427
        65    4,818    2,325    0.7371
         5    4,946    2,199    0.7299
        88    9,842    4,475    0.7205
        47    4,936    2,163    0.6809
        81    4,942    2,042    0.6806
        35    9,845    4,317    0.6774
        93    4,922    2,253    0.6742
         8    4,920    2,215    0.6620
        68    4,975    1,971    0.6576
        69    4,991    2,206    0.6573
        60    4,911    2,033    0.6543
         3    4,965    1,990    0.6534
        70    4,960    1,994    0.6302
        43    4,982    1,933    0.6301
        49    4,979    1,757    0.6231
        31    4,972    2,028    0.6229
        20    4,959    1,965    0.6171
        15    4,982    1,801    0.6082
        11    4,973    1,901    0.6053
         6    4,982    1,727    0.5985
        52    4,941    1,795    0.5951
        54    4,988    1,785    0.5946
        23    4,994    1,726    0.5920
        18    4,954    1,944    0.5897
        80   19,954    6,396    0.5881
        16    4,994    1,795    0.5861
        79   10,022    3,172    0.5775
        14    4,996    1,587    0.5774
        34    4,997    1,625    0.5773
        45    4,997    1,448    0.5726
        19    4,985    1,813    0.5714

AUC summary: mean = 0.6409, median = 0.6266, range = [0.5714, 0.7618], std = 0.0565
