Sequencing-error robustness
============================================================

  Variant                       Extra err   ROC-AUC    PR-AUC
  ------------------------------------------------------------
  Seq-only                           0.0%    0.6380    0.3943
  Evo2 (per-base)                    0.0%    0.7097    0.4612
  Evo2 (per-base + read LL)          0.0%    0.7073    0.4588
  Seq-only                           0.5%    0.6373    0.3931
  Evo2 (per-base)                    0.5%    0.7089    0.4598
  Evo2 (per-base + read LL)          0.5%    0.7065    0.4575
  Seq-only                           1.0%    0.6364    0.3918
  Evo2 (per-base)                    1.0%    0.7078    0.4581
  Evo2 (per-base + read LL)          1.0%    0.7053    0.4560
  Seq-only                           2.0%    0.6348    0.3896
  Evo2 (per-base)                    2.0%    0.7059    0.4550
  Evo2 (per-base + read LL)          2.0%    0.7036    0.4529
  Seq-only                           3.0%    0.6330    0.3873
  Evo2 (per-base)                    3.0%    0.7037    0.4520
  Evo2 (per-base + read LL)          3.0%    0.7015    0.4497
